title,artist,link
Untitled (2003),Andrea Bain,https://collections.ed.ac.uk/art/record/99938?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/record/99449?highlight=*:*
Life Drawing (Male Nude Reclining on Front) (1962),John Bellany,https://collections.ed.ac.uk/art/record/20763?highlight=*:*
Two Standing Male Nudes (1953),Eileen Duncan,https://collections.ed.ac.uk/art/record/20930?highlight=*:*
Architectural Scene (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21451?highlight=*:*
Untitled (2007),Jo Ganter,https://collections.ed.ac.uk/art/record/99974?highlight=*:*
Seated Male Nude with Glasses (Circa 1968),Gregory Lummell,https://collections.ed.ac.uk/art/record/21284?highlight=*:*
Via D' Italia (Unknown),John Brown,https://collections.ed.ac.uk/art/record/21673?highlight=*:*
Lid (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122080?highlight=*:*
Light Around Limbo (2016),Joseph Glover,https://collections.ed.ac.uk/art/record/99263?highlight=*:*
Untitled (2002),Sarah Sanford,https://collections.ed.ac.uk/art/record/99954?highlight=*:*
Seated Female Nude (1954),Leslie Drummond,https://collections.ed.ac.uk/art/record/21259?highlight=*:*
Untitled - Woman and Man (1981),Kirsty A Kirkwood,https://collections.ed.ac.uk/art/record/99439?highlight=*:*
Untitled - Woman with Bun (1963),Iona Murray,https://collections.ed.ac.uk/art/record/99401?highlight=*:*
Agriculture,Unknown,https://collections.ed.ac.uk/art/record/20534?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20705?highlight=*:*
Untitled (1969),Gabrielle Stubbs,https://collections.ed.ac.uk/art/record/22488?highlight=*:*
Seated Male Nude with Staff (1958),Ian Hodkinson,https://collections.ed.ac.uk/art/record/20882?highlight=*:*
Untitled (1969),Richard Easson,https://collections.ed.ac.uk/art/record/99830?highlight=*:*
Interior Scene (1968),Ian Patterson,https://collections.ed.ac.uk/art/record/21341?highlight=*:*
Untitled (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/22017?highlight=*:*
Untitled - City Highrise (Feb 1962),William Gillon,https://collections.ed.ac.uk/art/record/99482?highlight=*:*
Italian Cityscape (1953-1954),Trevor Stubley,https://collections.ed.ac.uk/art/record/20798?highlight=*:*
Untitled,Susan Pettinger,https://collections.ed.ac.uk/art/record/112500?highlight=*:*
Portrait of Man in a Hat (1951),Adam Hogg,https://collections.ed.ac.uk/art/record/21239?highlight=*:*
